GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "21000","Kentucky",5,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",160810.1,165761.9,161101.0,161316.4,165435.3,170481.9,175344.6,182017.9,186332.6,185790.0,186515.9,178112.8,186720.6,188389.8,192060.1,196698.0,196795.8,199487.1,201007.2,203564.0,205940.1,211783.1,206049.6,215133.2,219755.6,224418.0,229885.4
 "21000","Kentucky",5,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),176022.8,176870.8,176725.0,180670.3,182952.0,181706.0,186725.1,195535.5,197156.3,201330.6,206072.9,211230.0,228182.3,240400.4,229326.8,230020.2,(NA)
 "21000","Kentucky",5,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),148684.2,151289.1,150980.7,152633.1,153106.1,154549.7,156694.4,162836.3,166616.2,171290.5,177421.5,178158.9,176713.0,190930.9,194140.4,196283.3,(NA)
 "21000","Kentucky",5,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",110020.1,115592.7,114549.6,117767.9,122731.2,128289.6,135694.5,144914.9,153009.8,156900.0,160700.2,157440.1,166656.3,171238.1,178370.6,184920.6,188326.4,194621.2,197944.8,203564.0,210509.1,220678.8,218539.7,238428.9,261540.7,279707.5,293021.0
 "21000","Kentucky",5,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",89403.1,93175.0,100475.1,103997.8,106551.9,109765.9,116214.1,121734.5,128584.1,134209.9,140837.7,138999.7,144335.6,151379.9,156564.9,157905.4,164862.1,172269.4,175275.6,180836.1,186931.1,195518.9,212125.4,233354.7,237781.3,250569.1,263950.7
 "21000","Kentucky",5,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",78061.6,81337.2,88019.9,91041.0,94984.8,98556.6,104976.8,109211.5,115251.9,119659.7,125731.4,126749.8,131377.4,136662.7,141735.8,141839.9,147914.4,153771.0,156260.1,161763.3,167970.7,175487.7,192255.9,210506.5,209992.8,225150.8,237254.0
 "21000","Kentucky",5,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",73276.6,78078.0,83592.1,86556.6,89874.1,94238.0,99863.6,105818.8,111311.3,115134.1,119061.4,119046.4,123481.5,128068.7,131199.1,134476.7,138524.8,143701.2,148443.0,154214.4,161272.0,165214.9,164729.6,185707.9,201503.2,213960.2,(NA)
 "21000","Kentucky",5,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41032,40970,40634,41303,41635,41147,42161,44002,44228,44982,45924,46959,50615,53332,50831,50820,(NA)
 "21000","Kentucky",5,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),34659,35044,34715,34893,34843,34998,35380,36644,37377,38270,39539,39607,39199,42358,43032,43366,(NA)
 "21000","Kentucky",5,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22433,23189,24815,25564,26053,26661,28030,29104,30476,31529,32830,32198,33187,34607,35630,35758,37225,38766,39319,40403,41658,43466,47052,51769,52615,55063,57526
 "21000","Kentucky",5,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19587,20243,21739,22379,23224,23938,25319,26110,27316,28111,29309,29360,30208,31242,32256,32120,33398,34604,35054,36142,37432,39013,42645,46701,46466,49477,51708
 "21000","Kentucky",5,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18386,19432,20645,21277,21975,22889,24086,25299,26382,27048,27754,27576,28392,29278,29858,30452,31278,32338,33300,34455,35940,36729,36540,41199,44664,47272,(NA)
 "21000","Kentucky",5,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),89.803,88.492,90.358,90.413,90.646,90.845,91.025,90.699,90.648,90.031,89.074,89.591,89.084,89.256,89.391,90.468,(NA)
 "21000","Kentucky",5,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),80.077,78.688,81.786,83.906,85.692,87.012,88.404,88.249,89.093,90.031,90.898,92.735,93.219,97.264,103.793,109.006,(NA)
 "21000","Kentucky",5,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2223896,2264164,2306481,2283616,2263400,2273294,2300562,2337786,2374793,2414775,2402305,2324874,2325641,2367868,2389067,2407581,2439916,2473925,2498703,2520120,2546178,2549331,2470655,2556381,2637171,2709875,(NA)
