GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",54954.5,56913.1,60742.5,61719.4,63474.2,66119.4,68428.1,69556.1,71424.5,71943.5,71195.6,70498.6,72950.4,73465.0,74082.8,75503.4,76836.2,79319.3,80736.1,81179.6,82269.5,84438.2,83152.6,89949.3,91416.1,93466.7,96501.1
 "33000","New Hampshire",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),63530.8,63540.9,65788.4,67643.1,69271.5,68230.1,70279.9,72073.6,72954.0,74547.9,78110.1,81627.3,84761.2,91653.9,83713.5,87257.7,(NA)
 "33000","New Hampshire",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),54914.5,55275.5,56647.6,57168.6,58086.4,58960.7,59844.3,61026.9,61290.3,63068.6,65332.4,66116.6,64315.0,70412.7,69574.6,72800.3,(NA)
 "33000","New Hampshire",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",40747.7,42292.4,45604.9,47037.3,49109.6,51609.7,54545.7,56914.6,60152.7,61984.8,62095.3,63052.2,65310.8,66557.3,68412.0,70897.4,73455.1,77385.8,79759.7,81179.6,83859.4,87868.2,88527.7,99092.6,106488.0,114100.8,121189.4
 "33000","New Hampshire",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",36597.5,38930.2,43796.1,46179.9,46972.3,47833.0,50733.0,52464.3,56084.9,58305.5,60153.8,59381.5,61880.9,64888.9,67318.1,67121.8,69630.5,72779.6,75229.0,78661.0,82353.7,87724.1,93113.9,102233.5,104683.6,110683.7,116778.3
 "33000","New Hampshire",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",32062.5,33902.4,37811.9,40508.2,42277.0,43474.7,46275.1,47430.3,50473.1,52137.8,53988.2,54740.2,56818.2,58915.4,61385.4,60565.5,62558.6,65022.4,66972.9,70366.5,74159.2,78784.9,83795.0,90327.9,90099.2,97893.5,103165.9
 "33000","New Hampshire",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",29629.6,31953.0,34576.4,36590.7,38488.0,41132.5,43735.2,46409.1,48795.0,51242.1,52038.1,51722.7,53357.3,54918.3,56524.0,58076.5,59367.3,61727.9,63337.2,66704.2,69023.5,71187.4,70847.1,78698.4,87091.7,92406.2,(NA)
 "33000","New Hampshire",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),48279,48280,49949,51170,52187,51256,52473,53636,53993,54852,57226,59501,61479,66057,59838,62236,(NA)
 "33000","New Hampshire",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41731,41999,43009,43246,43760,44293,44682,45415,45361,46405,47865,48195,46649,50748,49732,51924,(NA)
 "33000","New Hampshire",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",30348,31857,35323,36782,37013,37374,39324,40404,42866,44422,45713,45119,46982,49086,50715,50423,51988,54161,55677,57878,60335,63946,67535,73672,74952,78936,82878
 "33000","New Hampshire",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",26587,27743,30496,32264,33313,33969,35869,36527,38576,39723,41027,41593,43139,44567,46246,45498,46708,48388,49566,51775,54331,57429,60776,65093,64510,69814,73218
 "33000","New Hampshire",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24570,26148,27887,29144,30327,32139,33900,35741,37294,39040,39545,39300,40511,41544,42583,43628,44326,45937,46876,49081,50569,51891,51387,56720,62253,65908,(NA)
 "33000","New Hampshire",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),106.272,105.231,104.064,103.513,102.937,102.840,102.144,103.956,105.144,105.765,103.530,104.020,105.271,102.565,107.809,105.345,(NA)
 "33000","New Hampshire",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),94.762,93.573,94.192,96.064,97.310,98.500,99.203,101.149,103.340,105.765,105.650,107.669,110.156,111.767,125.177,126.931,(NA)
 "33000","New Hampshire",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",743341,760763,783545,788168,788485,797649,812824,825602,835584,848007,844885,820826,813758,818810,824378,835032,844521,860652,873123,882481,892584,890078,858485,894657,919580,945323,(NA)
