GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",534933.6,552163.6,566250.9,577677.5,583507.4,598809.5,614957.1,626290.1,626589.9,649638.1,665148.3,645206.7,666805.8,676468.3,689007.0,704195.0,718691.6,734145.1,744847.1,754318.0,763855.4,771852.5,736381.3,765508.8,779360.6,799228.8,818529.4
 "42000","Pennsylvania",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),591536.8,579211.9,597832.3,617513.9,632010.6,629977.7,648176.4,666522.6,681043.0,679230.8,707494.5,720634.9,768051.4,794192.5,760573.2,761197.0,(NA)
 "42000","Pennsylvania",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),495840.5,491193.9,505624.4,514785.5,518822.9,524924.2,534574.9,542487.4,550965.1,553108.8,574735.6,583466.9,562018.2,609577.8,629332.9,628991.9,(NA)
 "42000","Pennsylvania",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",373515.0,391136.1,409330.2,428463.7,440887.5,460478.3,486384.5,510763.9,528771.2,563238.6,586886.6,581219.9,604629.6,623767.9,646434.3,670767.4,695546.6,716534.3,733165.9,754318.0,780620.7,802233.1,777000.8,844431.8,919741.1,976360.8,1024206.3
 "42000","Pennsylvania",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",334421.8,348489.2,372690.7,388186.3,395633.3,409185.8,432634.7,450359.7,472940.6,502658.8,522993.8,512318.2,535335.5,563528.9,584880.3,589720.2,611421.7,635818.0,653328.9,671702.8,707043.4,729329.5,782958.9,830114.9,848382.6,893649.2,930521.0
 "42000","Pennsylvania",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",289405.2,301295.1,322048.2,336978.3,350987.6,366412.5,388722.8,400473.7,417928.7,441292.3,460473.2,462512.3,482145.1,502382.7,522830.1,521961.8,540060.9,558612.5,575436.1,592682.8,628240.0,646245.5,699718.3,732291.1,730225.9,788220.2,819691.4
 "42000","Pennsylvania",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",267974.6,284766.6,304664.5,318001.4,329972.2,349799.2,369088.3,388455.6,406055.2,423686.0,438745.7,435016.9,453398.2,470444.5,480776.1,492004.0,504907.8,518363.6,529679.4,548260.1,575550.5,591606.7,574501.6,638431.7,702707.0,738929.8,(NA)
 "42000","Pennsylvania",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46902,45727,47012,48345,49314,49036,50321,51672,52718,52468,54503,55470,59101,61028,58632,58727,(NA)
 "42000","Pennsylvania",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39314,38778,39761,40302,40482,40859,41501,42056,42649,42725,44275,44911,43247,46842,48514,48527,(NA)
 "42000","Pennsylvania",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27309,28416,30339,31563,32084,33066,34860,36173,37803,40008,41467,40446,42097,44119,45637,45902,47467,49291,50572,51886,54468,56139,60245,63779,65336,68649,71148
 "42000","Pennsylvania",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23633,24568,26217,27399,28464,29610,31322,32167,33405,35124,36510,36514,37915,39331,40795,40628,41927,43306,44543,45782,48397,49744,53840,56263,56236,60550,62674
 "42000","Pennsylvania",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21883,23220,24801,25856,26760,28267,29739,31201,32456,33722,34787,34343,35654,36831,37514,38296,39198,40186,41001,42351,44338,45538,44208,49059,54171,57009,(NA)
 "42000","Pennsylvania",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),99.232,99.598,99.069,98.473,98.025,97.858,97.250,98.205,97.815,99.123,98.133,97.958,97.687,96.110,96.166,97.500,(NA)
 "42000","Pennsylvania",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),88.485,88.563,89.671,91.387,92.667,93.729,94.450,95.553,96.137,99.123,100.142,101.395,102.221,104.733,111.659,117.478,(NA)
 "42000","Pennsylvania",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",6657699,6764360,6905286,6915464,6887062,6875775,6951757,7053584,7152610,7265012,7278574,7101513,7119718,7217043,7284595,7350212,7434632,7510339,7593722,7662469,7763488,7772024,7412005,7648692,7900283,8094606,(NA)
