GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "49000","Utah",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",91312.7,95206.8,98648.5,100244.3,102828.1,104829.2,111318.9,118430.2,127539.4,133799.8,133662.9,130958.6,133739.1,138301.1,140622.5,145026.9,150076.3,155431.5,162528.2,172075.0,182106.0,192760.6,194750.2,210446.9,217442.5,225459.4,235715.5
 "49000","Utah",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),104127.9,97472.5,101138.6,103644.8,108592.8,111380.8,116910.4,126146.1,132904.4,136627.2,147988.6,154961.5,170930.2,188929.4,187352.6,191734.1,(NA)
 "49000","Utah",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),85637.5,81938.8,84859.2,84501.6,87428.8,90610.5,95301.5,99963.5,106008.5,109011.3,117829.2,121229.7,125782.1,142229.4,149523.5,152351.2,(NA)
 "49000","Utah",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",62070.1,65773.4,70056.3,73042.5,76289.4,79504.7,86766.7,95512.0,106787.1,115180.7,116949.2,113834.8,118296.3,125137.8,129431.4,135344.3,142627.7,149762.1,159330.6,172075.0,186805.7,201312.2,205647.9,232561.9,261080.8,281329.1,300903.8
 "49000","Utah",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",48098.5,50670.0,54230.6,56788.7,58508.6,60770.4,64795.0,70661.8,78561.1,85528.5,89967.8,86594.7,88940.5,95881.7,101928.1,105028.0,111056.4,119661.5,126540.6,134546.7,144645.5,155711.5,169921.1,194315.6,205519.4,219331.6,232791.7
 "49000","Utah",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",42065.8,44242.9,47332.2,49879.1,52482.5,54928.8,58669.2,62993.2,69533.0,75379.5,80262.0,78860.2,81116.7,86697.8,91803.6,93752.1,98969.1,106142.6,111885.9,119407.3,128505.3,137708.7,149974.1,168496.9,174495.1,191527.0,203076.7
 "49000","Utah",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",39544.4,41809.6,44950.1,47012.1,49337.7,51981.1,56192.3,60790.0,65987.7,71323.5,74052.5,72886.9,74728.6,78282.8,82173.0,85550.9,90645.5,94983.6,101149.4,107602.9,115404.2,122043.4,125383.2,146578.5,164189.6,174395.8,(NA)
 "49000","Utah",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),39101,35790,36430,36769,37951,38286,39605,42042,43372,43696,46514,47931,52050,56578,55409,56100,(NA)
 "49000","Utah",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32158,30087,30567,29978,30555,31146,32284,33316,34595,34864,37035,37497,38302,42593,44222,44577,(NA)
 "49000","Utah",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",22207,22995,24162,24867,25167,25749,26980,28751,31107,32924,33784,31796,32037,34015,35622,36102,37621,39881,41295,43030,45463,48163,51741,58183,60607,63700,66443
 "49000","Utah",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",19421,20079,21088,21841,22575,23274,24429,25631,27532,29017,30139,28956,29218,30757,32084,32226,33527,35376,36513,38189,40390,42594,45667,50452,51458,55624,57962
 "49000","Utah",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",18257,18974,20027,20586,21222,22025,23398,24734,26129,27456,27808,26763,26917,27772,28718,29407,30707,31656,33009,34413,36272,37749,38180,43895,48559,51027,(NA)
 "49000","Utah",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),96.975,100.036,97.291,99.824,99.423,98.575,97.934,97.656,97.082,98.708,95.977,97.259,95.262,94.573,94.572,95.002,(NA)
 "49000","Utah",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),86.472,88.953,88.062,92.641,93.988,94.416,95.114,95.018,95.416,98.708,97.942,100.671,99.683,103.058,109.809,114.470,(NA)
 "49000","Utah",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",1309652,1338175,1380538,1391757,1395308,1405773,1453389,1517550,1592713,1676369,1688135,1633986,1620793,1664413,1706044,1753374,1803933,1865934,1933131,1995267,2069738,2102960,2135682,2249697,2342012,2416306,(NA)
