GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "55000","Wisconsin",3,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",232087.1,242026.0,248572.0,252941.8,257966.9,265745.8,275412.4,282065.7,287146.6,289855.2,286204.7,277279.4,287652.9,293664.0,299007.6,301550.5,309425.8,315687.8,319272.3,321886.8,328832.4,333256.8,322470.6,334514.0,339747.9,344570.8,354075.9
 "55000","Wisconsin",3,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),263753.5,258383.6,259228.3,269994.4,274484.7,273572.1,280358.3,293608.2,296208.4,302158.3,309369.2,315503.8,338035.3,350422.2,340655.3,342612.8,(NA)
 "55000","Wisconsin",3,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),216733.5,213008.4,215229.0,220156.5,218771.8,222283.7,227091.2,233762.9,238358.4,243678.9,247075.3,249579.6,246261.9,264260.0,274093.1,277136.9,(NA)
 "55000","Wisconsin",3,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",163021.5,172928.5,180883.1,188662.8,195541.5,203814.0,216370.4,226937.5,237571.9,245837.7,246493.0,246323.8,256159.5,265444.0,276253.4,283791.4,296169.9,308304.5,315420.0,321886.8,335144.3,346906.6,343272.2,368880.4,400621.4,428447.1,451285.3
 "55000","Wisconsin",3,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",143130.0,148737.0,158494.2,166593.2,171010.0,175794.3,183721.4,189779.2,201058.4,210529.9,219194.5,216211.9,222260.9,234631.6,244508.3,245762.3,255165.3,266132.0,270846.6,281979.5,295996.8,307947.5,326881.1,355535.5,365165.5,384068.2,402880.7
 "55000","Wisconsin",3,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",122956.4,127885.1,136613.4,144424.5,151497.8,157031.4,164664.0,168712.5,177637.8,185752.5,193376.8,195506.2,200847.9,209758.0,218843.8,217673.1,226522.3,234745.6,238235.6,249551.8,263392.8,272661.1,292585.2,316117.2,317735.6,341826.6,358242.6
 "55000","Wisconsin",3,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",108943.1,116373.8,124865.7,130433.5,135786.6,143467.5,152103.7,160323.9,168429.6,174884.0,180266.0,178468.8,184793.5,191591.3,195140.7,199941.2,206949.5,212242.0,218417.9,227938.3,236881.7,244056.1,238790.5,268655.5,294114.1,310876.1,(NA)
 "55000","Wisconsin",3,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46757,45576,45542,47257,47867,47515,48515,50670,50958,51768,52802,53655,57326,59596,57831,57962,(NA)
 "55000","Wisconsin",3,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38421,37573,37812,38534,38151,38607,39297,40342,41006,41749,42170,42443,41763,44942,46531,46885,(NA)
 "55000","Wisconsin",3,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",27018,27892,29493,30812,31406,32084,33319,34218,36047,37522,38857,38138,39048,41067,42639,42685,44156,45928,46595,48311,50520,52370,55428,60449,61851,64763,67586
 "55000","Wisconsin",3,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",23210,23981,25421,26711,27822,28660,29863,30420,31848,33106,34281,34485,35286,36714,38163,37806,39199,40512,40985,42755,44955,46369,49613,53747,53817,57640,60098
 "55000","Wisconsin",3,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",20564,21823,23235,24124,24937,26184,27585,28907,30197,31169,31956,31480,32465,33534,34030,34727,35812,36628,37575,39052,40430,41504,40496,45690,49930,52593,(NA)
 "55000","Wisconsin",3,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),93.276,94.224,94.858,93.773,94.356,93.911,93.832,93.314,93.234,93.540,93.951,94.472,92.665,93.293,92.416,93.097,(NA)
 "55000","Wisconsin",3,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),83.174,83.785,85.859,87.025,89.198,89.949,91.131,90.794,91.634,93.540,95.874,97.787,96.966,101.663,107.304,112.174,(NA)
 "55000","Wisconsin",3,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",3287793,3350388,3413585,3403719,3395194,3413427,3467823,3511454,3547006,3585326,3572816,3444538,3426369,3474372,3499342,3539199,3585944,3624473,3657732,3678859,3721096,3717587,3580658,3682359,3775679,3855150,(NA)
