GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",48138.5,50620.3,52958.5,54066.2,55406.5,56882.4,58934.8,59589.7,59986.0,60032.6,59845.1,58771.8,59958.5,59429.7,59181.7,59013.9,59589.8,60563.0,62037.1,63000.6,64806.3,66758.4,67410.9,71142.4,73036.2,75195.4,77477.5
 "23000","Maine",1,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),55982.4,56183.4,57177.8,58920.9,58117.2,56565.7,61195.9,61517.9,62117.5,63401.4,64801.5,68684.7,72531.2,77089.5,73379.1,77721.3,(NA)
 "23000","Maine",1,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),51749.8,51867.2,53454.2,54944.2,53738.2,53548.7,57131.5,56698.4,58007.0,59583.0,61309.8,63598.8,61573.5,67419.5,66988.4,71878.3,(NA)
 "23000","Maine",1,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",32412.8,34714.7,37222.0,38925.7,40664.1,42493.4,45233.1,47028.1,48889.3,50291.3,51001.9,51451.2,52802.5,53104.5,54018.5,54924.8,56537.4,58755.8,61092.2,63000.6,66216.0,69708.7,72077.1,79193.9,86493.3,93270.0,98606.0
 "23000","Maine",1,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",31264.4,32675.4,35091.4,37055.0,38290.7,40162.9,42164.5,43103.5,45226.0,46979.3,49175.8,49337.0,50487.0,52539.8,53227.3,53240.2,54984.6,57356.5,59286.8,61740.1,64463.2,67852.8,74089.1,81589.1,85708.0,90868.2,95722.5
 "23000","Maine",1,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",27435.9,28674.6,30640.2,32492.0,34275.1,36336.7,38225.9,38722.3,40496.6,41934.5,44003.4,45094.6,46126.8,47543.6,48197.8,47819.9,49435.7,51298.6,52865.1,55340.1,58105.0,60761.2,66646.8,72637.6,74763.3,81105.9,85342.4
 "23000","Maine",1,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",26837.0,28794.2,30892.4,32644.0,34534.7,36525.6,38696.2,40878.1,42680.5,44182.6,45495.1,45604.6,47264.9,49062.9,49282.6,50464.5,51398.4,52951.5,55482.4,58157.7,61115.1,62945.6,63069.0,71498.2,78323.4,84092.7,(NA)
 "23000","Maine",1,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),42076,42256,43057,44299,43666,42445,45784,46054,46346,47140,47980,50596,53155,55911,52816,55685,(NA)
 "23000","Maine",1,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38895,39010,40253,41310,40376,40181,42743,42446,43279,44301,45394,46849,45125,48898,48216,51499,(NA)
 "23000","Maine",1,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",24830,25793,27478,28821,29546,30740,32096,32684,34168,35402,36960,37107,38018,39502,39992,39950,41137,42939,44234,45905,47729,49983,54295,59168,61620,64922,68129
 "23000","Maine",1,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",21790,22635,23993,25272,26448,27812,29098,29362,30595,31600,33073,33916,34735,35745,36213,35883,36986,38404,39443,41146,43021,44759,48841,52677,53751,57947,60741
 "23000","Maine",1,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",21314,22730,24190,25390,26648,27957,29456,30997,32245,33294,34194,34300,35592,36888,37028,37867,38454,39641,41396,43241,45250,46368,46221,51856,56375,60250,(NA)
 "23000","Maine",1,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),98.591,98.881,97.688,96.220,97.011,98.392,92.632,95.984,97.318,97.608,97.683,95.618,97.886,97.318,100.698,97.097,(NA)
 "23000","Maine",1,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),87.914,87.926,88.421,89.296,91.709,94.241,89.965,93.392,95.648,97.608,99.682,98.973,102.429,106.050,116.921,116.993,(NA)
 "23000","Maine",1,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",748614,762975,784039,787577,790595,794492,807610,809340,817608,828243,823556,800553,791385,794415,796939,803582,810909,816586,826729,834280,843918,842370,812930,849228,867062,889717,(NA)
