GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "34000","New Jersey",2,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",461237.3,477827.9,503901.5,509631.5,517752.2,529815.9,536174.0,546357.8,555211.0,560823.8,573202.7,546362.2,554764.4,548479.3,560729.7,570952.4,570696.4,581414.9,587049.7,590086.7,606892.2,618691.0,597221.4,632463.3,650235.8,663888.5,678968.4
 "34000","New Jersey",2,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),469080.7,442074.8,456219.3,463368.0,469116.2,468261.5,481089.2,500906.3,509586.1,519160.2,523261.2,544239.2,565276.5,593641.8,570674.1,581816.4,(NA)
 "34000","New Jersey",2,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),364831.4,346665.4,357968.9,357039.7,360496.4,365184.6,372262.0,381162.5,387852.6,392232.8,393723.9,403234.6,391837.9,434362.9,442590.2,451912.0,(NA)
 "34000","New Jersey",2,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",318104.0,334966.4,360530.4,372819.2,385045.6,399996.5,415490.8,436064.4,457681.5,474539.6,493289.4,481452.7,491229.0,494292.8,516098.2,534212.1,543824.1,565807.7,578651.4,590086.7,619340.2,643317.7,631552.3,695443.2,758288.7,806665.2,846587.5
 "34000","New Jersey",2,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",286580.2,299723.8,329591.8,341308.9,345988.7,354097.7,369770.9,382749.3,410264.9,435048.7,449545.4,436271.4,448931.1,469252.9,484600.0,488591.3,509357.6,530303.1,545301.7,566237.1,591910.4,625170.3,653079.7,704936.4,719973.5,762802.9,798742.1
 "34000","New Jersey",2,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",243362.5,252709.4,276109.9,287114.5,300292.2,310910.2,325233.5,331779.7,354300.9,371189.8,384724.6,387087.3,397235.0,409360.8,425028.0,421449.1,439473.5,454670.3,468296.2,487599.4,512769.8,541341.9,570835.0,609076.5,603239.2,661194.4,692547.7
 "34000","New Jersey",2,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",206219.0,220351.8,237684.3,250245.6,262635.3,278154.7,294265.6,311008.9,326975.3,340079.3,349924.5,342548.8,352741.4,362084.6,372893.6,381523.2,394640.6,404207.8,415927.6,428802.3,446294.5,464060.7,453945.7,516834.1,558950.3,592882.2,(NA)
 "34000","New Jersey",2,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),53849,50491,51788,52191,52502,52103,53239,55171,55861,56574,56752,58777,60963,64045,61622,62623,(NA)
 "34000","New Jersey",2,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),41881,39594,40635,40215,40345,40634,41196,41982,42517,42742,42703,43549,42259,46861,47792,48641,(NA)
 "34000","New Jersey",2,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",34580,35854,39095,40189,40454,41167,42825,44238,47366,50133,51606,49828,50961,52854,54235,54365,56367,58408,59776,61704,64198,67518,70430,76040,77456,81325,84071
 "34000","New Jersey",2,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",29365,30230,32751,33807,35111,36146,37666,38347,40904,42774,44165,44210,45092,46108,47568,46895,48634,50078,51335,53134,55615,58464,61560,65700,64898,70492,72893
 "34000","New Jersey",2,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",24883,26359,28193,29466,30708,32338,34080,35947,37750,39189,40170,39123,40042,40783,41733,42452,43672,44520,45594,46727,48405,50118,48957,55758,60356,63814,(NA)
 "34000","New Jersey",2,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),107.563,111.124,108.867,109.277,109.420,109.077,109.154,108.990,109.111,109.323,111.078,111.183,110.712,109.190,108.768,108.883,(NA)
 "34000","New Jersey",2,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),95.914,98.813,98.540,101.413,103.439,104.474,106.012,106.046,107.239,109.323,113.352,115.085,115.850,118.987,126.291,131.194,(NA)
 "34000","New Jersey",2,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",4500635,4571128,4748598,4777145,4791997,4825010,4909630,4991163,5057231,5130173,5123837,4992097,4960649,5018547,5053885,5133106,5206898,5303132,5391258,5448785,5550061,5571281,5319518,5585258,5874226,6036507,(NA)
